Nick;Platforma;Ocena;Data1;Godzina2;LiczbaKomentarzy;Tresc
Magdalena Szymanska;Opineo;4,1;2023-02-14;10:30;5,00;Produkty sa dobre, ale czasami trudno sie z nimi skontaktowac.
Piotr Kaczmarek;Opineo;4,3;2023-07-04;15:35;34,00;Solidna firma, ale niektore produkty sa trudne do zamowienia.
Joanna Lewandowska;Ceneo;4,2;2023-10-27;13:15;45,00;Zadowolony z jakosci, ale proces zamowienia moglby byc latwiejszy.
Magdalena Szymanska;Opineo;3,7;2023-12-20;8:25;44,00;Produkty Danfoss sa godne polecenia, ale czas dostawy bywa rozny.
Adam Kaminski;Ceneo;4,7;2022-09-08;12:00;30,00;Firma oferuje wysoka jakosc, ale czas oczekiwania na realizacje zamowienia jest czasami dlugi.
Tomasz Wojcik;Google;3,9;2023-08-29;10:20;20,00;Produkty Danfoss naprawde ulatwiaja zycie, jednak procesy logistyczne moga byc szybsze.
Jan Kowalski;Google;4,7;2023-03-25;16:00;26,00;Jestem bardzo zadowolony z jakosci produktow, ale czekanie na dostawe jest frustrujace.
Joanna Lewandowska;Google;3,8;2022-10-19;15:25;27,00;Firma bardzo dobra, ale czas oczekiwania na odpowiedz na zapytanie jest za dlugi.
Maria Nowak;Google;5,0;2022-07-26;13:30;32,00;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Joanna Lewandowska;Facebook;4,1;2022-01-16;9:20;40,00;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Joanna Lewandowska;Google;4,6;2023-02-20;14:40;27,00;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Piotr Kaczmarek;Ceneo;4,0;2023-01-11;12:50;8,00;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Magdalena Szymanska;Facebook;4,6;2022-06-17;13:10;1,00;Swietne miejsce pracy z duzymi mozliwosciami.
Jan Kowalski;Google;4,1;2023-04-01;8:55;13,00;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Maria Nowak;Opineo;3,7;2023-03-07;10:35;22,00;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Magdalena Szymanska;Google;3,5;2022-07-29;14:25;35,00;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Adam Kaminski;Opineo;3,9;2023-09-22;16:50;49,00;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Magdalena Szymanska;Opineo;3,8;2023-03-09;13:45;45,00;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Krzysztof Zielinski;Google;4,2;2023-06-08;15:15;8,00;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Magdalena Szymanska;Ceneo;4,4;2022-04-18;7:15;4,00;Polecam, choc czasami dostawy sa opoznione.
Anonimowy uzytkownik;Opineo;4,4;2023-08-12;10:45;29,00;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Magdalena Szymanska;Google;4,4;2022-07-20;9:45;41,00;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Jan Kowalski;Ceneo;5,0;2023-03-17;13:30;10,00;Jakosc produktow Danfoss stoi na wysokim poziomie, ale obsluga klienta wymaga poprawy.
Maria Nowak;Ceneo;3,9;2023-01-06;14:15;17,00;Zakupilem produkty w Danfoss i jestem zadowolony z ich dzialania, ale czas oczekiwania na wysylke moglby byc krotszy.
Adam Kaminski;Opineo;4,5;2022-03-30;11:35;2,00;Firma dobrze zarzadza swoimi procesami, ale zbyt rzadko organizuja promocje.
Anna Wisniewska;Facebook;3,6;2023-05-01;12:15;29,00;Dobre wsparcie techniczne, ale nie zawsze latwo jest sie z nimi skontaktowac.
Joanna Lewandowska;Google;4,9;2022-12-10;15:25;16,00;Czasami mam problemy z dostawa, ale produkty sa solidne.
Piotr Kaczmarek;Opineo;4,3;2023-05-24;9:25;13,00;Produkty sa dobre, ale niektore z nich sa trudne do zainstalowania.
Anna Wisniewska;Google;3,6;2022-11-19;10:50;38,00;Obsluga na poziomie, ale niektore zamowienia mialy problem z realizacja.
Anonimowy uzytkownik;Opineo;4,5;2022-02-07;16:40;10,00;Firma oferuje solidne rozwiazania, ale nie zawsze reaguja szybko na zapytania.
Anna Wisniewska;Google;4,9;2022-07-03;7:55;15,00;Wysoka jakosc, ale czas oczekiwania na odpowiedz od dzialu obslugi jest zbyt dlugi.
Magdalena Szymanska;Facebook;4,6;2023-04-08;11:10;16,00;Dobre produkty, ale mogliby poprawic komunikacje z klientami.
Joanna Lewandowska;Facebook;5,0;2022-05-13;8:35;34,00;Firma oferuje innowacyjne rozwiazania, ale czekanie na nie jest czasem zbyt dlugie.
Anonimowy uzytkownik;Facebook;3,7;2023-10-02;12:40;47,00;Jakosc produktow jest swietna, ale firma moglaby oferowac wiecej informacji o swoich produktach.
Maria Nowak;Google;5,0;2023-07-09;13:50;39,00;Profesjonalna obsluga, ale mogloby byc wiecej szkolen dla pracownikow.
Maria Nowak;Ceneo;4,4;2022-06-14;9:55;41,00;Ceny sa nieco wysokie, ale jakosc produktow rekompensuje ten koszt.
Anonimowy uzytkownik;Facebook;3,5;2023-04-25;14:55;49,00;Bardzo pozytywne doswiadczenie, choc czas oczekiwania na odpowiedz byl dlugi.
Tomasz Wojcik;Opineo;4,8;2023-02-13;10:05;48,00;Firma bardzo solidna, ale dostepnosc niektorych produktow jest ograniczona.
Jan Kowalski;Opineo;3,7;2022-11-22;12:10;14,00;Produkty Danfoss sa na najwyzszym poziomie, ale firma moglaby lepiej zarzadzac czasem dostawy.
Tomasz Wojcik;Google;4,2;2023-03-10;11:20;38,00;Dobre podejscie do klienta, ale czasami trzeba czekac na produkty dluzej, niz sie spodziewam.
Joanna Lewandowska;Google;4,2;2022-06-12;13:15;43,00;Duza roznorodnosc produktow, ale ceny sa troche za wysokie.
Maria Nowak;Facebook;3,7;2023-09-04;14:05;50,00;Firma oferuje doskonala jakosc, jednak czas realizacji zamowien moglby byc krotszy.
Tomasz Wojcik;Opineo;3,7;2022-04-02;16:10;14,00;Obsluga klienta bardzo pomocna, ale niektore procesy wewnetrzne wymagaja usprawnienia.
Anonimowy uzytkownik;Ceneo;4,3;2023-02-06;9:25;8,00;Produkty sa dobre, ale czasami trudno sie z nimi skontaktowac.
Piotr Kaczmarek;Facebook;4,2;2022-08-27;7:50;31,00;Solidna firma, ale niektore produkty sa trudne do zamowienia.
Anonimowy uzytkownik;Ceneo;4,4;2023-05-08;11:50;45,00;Zadowolony z jakosci, ale proces zamowienia moglby byc latwiejszy.
Maria Nowak;Facebook;3,7;2022-06-30;14:10;48,00;Produkty Danfoss sa godne polecenia, ale czas dostawy bywa rozny.
Maria Nowak;Google;4,2;2023-10-17;15:00;28,00;Firma oferuje wysoka jakosc, ale czas oczekiwania na realizacje zamowienia jest czasami dlugi.
Jan Kowalski;Facebook;4,2;2023-07-22;13:40;44,00;Produkty Danfoss naprawde ulatwiaja zycie, jednak procesy logistyczne moga byc szybsze.
Anonimowy uzytkownik;Ceneo;5,0;2022-05-25;9:15;3,00;Jestem bardzo zadowolony z jakosci produktow, ale czekanie na dostawe jest frustrujace.
Adam Kaminski;Opineo;3,8;2023-10-29;10:25;50,00;Firma bardzo dobra, ale czas oczekiwania na odpowiedz na zapytanie jest za dlugi.
Anonimowy uzytkownik;Ceneo;4,2;2022-08-14;15:20;2,00;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Piotr Kaczmarek;Google;4,3;2023-09-01;7:30;18,00;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Adam Kaminski;Opineo;4,2;2022-05-20;13:10;35,00;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Anna Wisniewska;Opineo;4,7;2023-11-18;11:40;18,00;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
