Nick;Platforma;Ocena;Data1;Godzina2;LiczbaKomentarzy;Tresc
Anonimowy uzytkownik;Facebook;4,6;2023-01-28;11:40;46;Firma dobrze zarzadza swoimi procesami, ale zbyt rzadko organizuja promocje.
Magdalena Szymanska;Ceneo;3,9;2022-12-24;12:15;49;Dobre wsparcie techniczne, ale nie zawsze latwo jest sie z nimi skontaktowac.
Jan Kowalski;Google;3,7;2023-03-07;15:35;11;Czasami mam problemy z dostawa, ale produkty sa solidne.
Maria Nowak;Ceneo;4,2;2023-06-21;9:50;34;Produkty sa dobre, ale niektore z nich sa trudne do zainstalowania.
Adam Kaminski;Facebook;3,6;2023-08-25;7:05;26;Obsluga na poziomie, ale niektore zamowienia mialy problem z realizacja.
Anna Wisniewska;Opineo;3,9;2022-02-18;8:30;26;Firma oferuje solidne rozwiazania, ale nie zawsze reaguja szybko na zapytania.
Joanna Lewandowska;Facebook;4,1;2022-07-13;10:35;48;Wysoka jakosc, ale czas oczekiwania na odpowiedz od dzialu obslugi jest zbyt dlugi.
Piotr Kaczmarek;Ceneo;4,3;2022-03-04;13:15;37;Dobre produkty, ale mogliby poprawic komunikacje z klientami.
Anna Wisniewska;Opineo;2,8;2023-10-23;9:30;8;Firma oferuje innowacyjne rozwiazania, ale czekanie na nie jest czasem zbyt dlugie.
Anonimowy uzytkownik;Ceneo;4,2;2022-05-11;14:00;34;Jakosc produktow jest swietna, ale firma moglaby oferowac wiecej informacji o swoich produktach.
Anna Wisniewska;Ceneo;4,4;2022-12-27;12:55;46;Profesjonalna obsluga, ale mogloby byc wiecej szkolen dla pracownikow.
Magdalena Szymanska;Ceneo;4,6;2022-09-05;11:20;43;Ceny sa nieco wysokie, ale jakosc produktow rekompensuje ten koszt.
Joanna Lewandowska;Ceneo;4,2;2023-10-29;13:40;11;Bardzo pozytywne doswiadczenie, choc czas oczekiwania na odpowiedz byl dlugi.
Anonimowy uzytkownik;Ceneo;4,6;2023-06-30;8:45;45;Firma bardzo solidna, ale dostepnosc niektorych produktow jest ograniczona.
Maria Nowak;Google;5,0;2023-07-21;15:05;36;Produkty Danfoss sa na najwyzszym poziomie, ale firma moglaby lepiej zarzadzac czasem dostawy.
Maria Nowak;Google;3,8;2023-09-04;9:10;27;Dobre podejscie do klienta, ale czasami trzeba czekac na produkty dluzej, niz sie spodziewam.
Anonimowy uzytkownik;Ceneo;4,2;2022-04-02;12:00;7;Duza roznorodnosc produktow, ale ceny sa troche za wysokie.
Tomasz Wojcik;Ceneo;4,3;2023-08-23;16:40;10;Firma oferuje doskonala jakosc, jednak czas realizacji zamowien moglby byc krotszy.
Jan Kowalski;Facebook;4,4;2023-04-13;7:15;15;Obsluga klienta bardzo pomocna, ale niektore procesy wewnetrzne wymagaja usprawnienia.
Tomasz Wojcik;Facebook;3,9;2022-02-16;10:50;37;Produkty sa dobre, ale czasami trudno sie z nimi skontaktowac.
Joanna Lewandowska;Ceneo;3,6;2023-03-01;15:30;9;Solidna firma, ale niektore produkty sa trudne do zamowienia.
Maria Nowak;Ceneo;4,9;2023-08-10;13:05;39;Zadowolony z jakosci, ale proces zamowienia moglby byc latwiejszy.
Tomasz Wojcik;Google;5,0;2022-01-09;8:25;41;Produkty Danfoss sa godne polecenia, ale czas dostawy bywa rozny.
Anonimowy uzytkownik;Google;4,7;2022-11-12;11:10;44;Firma oferuje wysoka jakosc, ale czas oczekiwania na realizacje zamowienia jest czasami dlugi.
Piotr Kaczmarek;Ceneo;5,0;2023-03-20;14:20;15;Produkty Danfoss naprawde ulatwiaja zycie, jednak procesy logistyczne moga byc szybsze.
Anonimowy uzytkownik;Facebook;3,5;2023-07-18;16:15;4;Jestem bardzo zadowolony z jakosci produktow, ale czekanie na dostawe jest frustrujace.
Maria Nowak;Facebook;3,9;2022-02-25;10:05;16;Firma bardzo dobra, ale czas oczekiwania na odpowiedz na zapytanie jest za dlugi.
Maria Nowak;Ceneo;4,0;2022-07-19;13:30;22;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Jan Kowalski;Opineo;4,0;2023-04-15;14:40;31;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Anonimowy uzytkownik;Ceneo;3,4;2023-09-06;8:40;50;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Adam Kaminski;Opineo;4,6;2022-11-28;11:45;47;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Anonimowy uzytkownik;Google;3,5;2023-05-02;12:10;1;Swietne miejsce pracy z duzymi mozliwosciami.
Piotr Kaczmarek;Facebook;4,8;2022-10-01;16:30;8;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Adam Kaminski;Facebook;4,0;2023-04-05;13:55;20;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Anna Wisniewska;Google;4,3;2022-06-22;10:25;16;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Adam Kaminski;Opineo;4,2;2023-10-03;9:40;30;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Tomasz Wojcik;Opineo;5,0;2023-01-06;7:45;38;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Maria Nowak;Google;4,8;2022-04-07;13:10;24;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Tomasz Wojcik;Facebook;4,4;2022-09-21;11:35;42;Polecam, choc czasami dostawy sa opoznione.
Anonimowy uzytkownik;Ceneo;3,5;2023-05-19;14:30;5;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Maria Nowak;Facebook;4,2;2023-12-09;9:15;30;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Adam Kaminski;Facebook;4,2;2023-06-13;15:20;3;Jakosc produktow Danfoss stoi na wysokim poziomie, ale obsluga klienta wymaga poprawy.
Anonimowy uzytkownik;Google;3,5;2023-07-02;12:25;36;Zakupilem produkty w Danfoss i jestem zadowolony z ich dzialania, ale czas oczekiwania na wysylke moglby byc krotszy.
Adam Kaminski;Facebook;3,9;2022-03-23;10:40;32;Firma dobrze zarzadza swoimi procesami, ale zbyt rzadko organizuja promocje.
Anonimowy uzytkownik;Opineo;4,4;2023-10-06;7:35;12;Dobre wsparcie techniczne, ale nie zawsze latwo jest sie z nimi skontaktowac.
Jan Kowalski;Google;4,7;2023-04-28;16:45;23;Czasami mam problemy z dostawa, ale produkty sa solidne.
Tomasz Wojcik;Facebook;4,6;2023-02-12;13:45;45;Produkty sa dobre, ale niektore z nich sa trudne do zainstalowania.
Piotr Kaczmarek;Opineo;3,6;2023-08-30;9:55;19;Obsluga na poziomie, ale niektore zamowienia mialy problem z realizacja.
Piotr Kaczmarek;Ceneo;4,1;2022-11-10;14:10;39;Firma oferuje solidne rozwiazania, ale nie zawsze reaguja szybko na zapytania.
Anonimowy uzytkownik;Google;3,9;2023-06-08;12:55;20;Wysoka jakosc, ale czas oczekiwania na odpowiedz od dzialu obslugi jest zbyt dlugi.
Joanna Lewandowska;Google;3,1;2022-03-02;8:20;4;Dobre produkty, ale mogliby poprawic komunikacje z klientami.
Anonimowy uzytkownik;Ceneo;4,2;2023-09-14;15:00;11;Firma oferuje innowacyjne rozwiazania, ale czekanie na nie jest czasem zbyt dlugie.
Tomasz Wojcik;Ceneo;4,6;2023-05-26;11:20;50;Jakosc produktow jest swietna, ale firma moglaby oferowac wiecej informacji o swoich produktach.
Jan Kowalski;Ceneo;4,1;2023-03-09;13:40;16;Profesjonalna obsluga, ale mogloby byc wiecej szkolen dla pracownikow.
Magdalena Szymanska;Facebook;3,8;2022-12-02;10:50;27;Ceny sa nieco wysokie, ale jakosc produktow rekompensuje ten koszt.
Piotr Kaczmarek;Facebook;4,3;2022-06-11;7:55;21;Bardzo pozytywne doswiadczenie, choc czas oczekiwania na odpowiedz byl dlugi.
Krzysztof Zielinski;Ceneo;3,7;2023-10-07;8:35;14;Firma bardzo solidna, ale dostepnosc niektorych produktow jest ograniczona.
Adam Kaminski;Facebook;4,5;2023-07-28;16:50;3;Produkty Danfoss sa na najwyzszym poziomie, ale firma moglaby lepiej zarzadzac czasem dostawy.
Anonimowy uzytkownik;Ceneo;4,2;2022-11-05;14:00;12;Dobre podejscie do klienta, ale czasami trzeba czekac na produkty dluzej, niz sie spodziewam.
Joanna Lewandowska;Ceneo;3,6;2022-09-12;13:25;31;Duza roznorodnosc produktow, ale ceny sa troche za wysokie.
Tomasz Wojcik;Google;4,8;2023-02-01;12:40;29;Firma oferuje doskonala jakosc, jednak czas realizacji zamowien moglby byc krotszy.
Krzysztof Zielinski;Google;5,0;2022-10-30;10:30;45;Obsluga klienta bardzo pomocna, ale niektore procesy wewnetrzne wymagaja usprawnienia.
Joanna Lewandowska;Facebook;4,5;2023-02-17;11:15;5;Produkty sa dobre, ale czasami trudno sie z nimi skontaktowac.
Piotr Kaczmarek;Opineo;4,5;2022-12-29;7:10;12;Solidna firma, ale niektore produkty sa trudne do zamowienia.
Anonimowy uzytkownik;Ceneo;4,3;2023-05-14;13:00;15;Zadowolony z jakosci, ale proces zamowienia moglby byc latwiejszy.
Anonimowy uzytkownik;Opineo;3,7;2023-03-06;9:05;2;Produkty Danfoss sa godne polecenia, ale czas dostawy bywa rozny.
Tomasz Wojcik;Opineo;4,5;2022-08-17;12:15;15;Firma oferuje wysoka jakosc, ale czas oczekiwania na realizacje zamowienia jest czasami dlugi.
Adam Kaminski;Ceneo;3,7;2022-04-22;14:25;19;Produkty Danfoss naprawde ulatwiaja zycie, jednak procesy logistyczne moga byc szybsze.
Maria Nowak;Ceneo;4,5;2023-09-13;16:30;30;Jestem bardzo zadowolony z jakosci produktow, ale czekanie na dostawe jest frustrujace.
Anna Wisniewska;Google;4,3;2022-07-04;15:10;25;Firma bardzo dobra, ale czas oczekiwania na odpowiedz na zapytanie jest za dlugi.
Piotr Kaczmarek;Google;3,5;2022-12-11;10:40;41;Firma bardzo dobra, ale czas oczekiwania na odpowiedz na zapytanie jest za dlugi.
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
